Student: Student-0 Smith, promowany: True, średnia: 4.60
Student: Student-1 Smith, promowany: True, średnia: 3.40
Student: Student-2 Smith, promowany: True, średnia: 2.80
Student: Student-3 Smith, promowany: True, średnia: 5.00
Student: Student-4 Smith, promowany: True, średnia: 4.20
Student: Student-5 Smith, promowany: True, średnia: 3.40
Student: Student-6 Smith, promowany: True, średnia: 3.80
Student: Student-7 Smith, promowany: True, średnia: 3.40
Student: Student-8 Smith, promowany: True, średnia: 3.40
Student: Student-9 Smith, promowany: True, średnia: 3.00
Student: Student-10 Smith, promowany: True, średnia: 2.80
Student: Student-11 Smith, promowany: True, średnia: 3.20
Student: Student-12 Smith, promowany: True, średnia: 3.40
Student: Student-13 Smith, promowany: True, średnia: 2.60
Student: Student-14 Smith, promowany: True, średnia: 4.00
Student: Student-15 Smith, promowany: True, średnia: 2.60
Student: Student-16 Smith, promowany: True, średnia: 3.00
Student: Student-17 Smith, promowany: True, średnia: 3.80
Student: Student-18 Smith, promowany: True, średnia: 3.40
Student: Student-19 Smith, promowany: True, średnia: 3.40
Student: Student-20 Smith, promowany: True, średnia: 3.60
Student: Student-21 Smith, promowany: True, średnia: 3.40
Student: Student-22 Smith, promowany: True, średnia: 3.80
Student: Student-23 Smith, promowany: True, średnia: 4.00
Student: Student-24 Smith, promowany: True, średnia: 4.60
Student: Student-25 Smith, promowany: True, średnia: 4.80
Student: Student-26 Smith, promowany: True, średnia: 2.20
Student: Student-27 Smith, promowany: True, średnia: 3.40
Student: Student-28 Smith, promowany: True, średnia: 3.80
Student: Student-29 Smith, promowany: True, średnia: 3.20
Student: Student-30 Smith, promowany: False, średnia: 2.40
Student: Student-31 Smith, promowany: True, średnia: 3.60
Student: Student-32 Smith, promowany: True, średnia: 4.00
Student: Student-33 Smith, promowany: True, średnia: 2.60
Student: Student-34 Smith, promowany: True, średnia: 2.80
Student: Student-35 Smith, promowany: True, średnia: 5.40
Dodatkowo dopisaliśmy jeszcze:
Student: Student-0 Smith, promowany: True, średnia: 2.40
Student: Student-1 Smith, promowany: True, średnia: 3.60
Student: Student-2 Smith, promowany: True, średnia: 4.20
Student: Student-3 Smith, promowany: True, średnia: 4.00
Student: Student-4 Smith, promowany: True, średnia: 3.60
Student: Student-5 Smith, promowany: True, średnia: 2.40
Student: Student-6 Smith, promowany: True, średnia: 3.80
Student: Student-7 Smith, promowany: True, średnia: 3.20
Student: Student-8 Smith, promowany: True, średnia: 3.20
Student: Student-9 Smith, promowany: True, średnia: 3.80
Student: Student-10 Smith, promowany: True, średnia: 4.00
Student: Student-11 Smith, promowany: True, średnia: 4.00
Student: Student-12 Smith, promowany: True, średnia: 4.00
Student: Student-13 Smith, promowany: True, średnia: 2.60
Student: Student-14 Smith, promowany: True, średnia: 4.00
Student: Student-15 Smith, promowany: True, średnia: 2.40
Student: Student-16 Smith, promowany: False, średnia: 2.00
Student: Student-17 Smith, promowany: True, średnia: 3.80
Student: Student-18 Smith, promowany: True, średnia: 2.60
Student: Student-19 Smith, promowany: True, średnia: 3.20
Student: Student-20 Smith, promowany: True, średnia: 4.20
Student: Student-21 Smith, promowany: True, średnia: 2.40
Student: Student-22 Smith, promowany: True, średnia: 2.80
Student: Student-23 Smith, promowany: True, średnia: 2.80
Student: Student-24 Smith, promowany: False, średnia: 1.60
Student: Student-25 Smith, promowany: True, średnia: 3.40
Student: Student-26 Smith, promowany: True, średnia: 3.00
Student: Student-27 Smith, promowany: True, średnia: 4.00
Student: Student-28 Smith, promowany: True, średnia: 2.40
Student: Student-29 Smith, promowany: True, średnia: 3.80
Student: Student-30 Smith, promowany: True, średnia: 4.00
Student: Student-31 Smith, promowany: True, średnia: 3.20
